证券代码,证券名称,"区间成交均价
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    元","区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间日均涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[复权方式]    不复权
[单位]    %","区间换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间日均换手率
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","区间成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交量
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间日均成交额
[起始交易日期]    截止日52周前
[截止交易日期]    最新","区间振幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[单位]    %","相对大盘区间涨跌幅
[起始交易日期]    截止日52周前
[截止交易日期]    最新
[大盘指数选项]    上证指数
[复权方式]    不复权
[单位]    %"
833454.BJ,同心传动,9.3032,41.5414,0.3140,1378.0977,5.6946,826745020.0000,3416301.7355,7691368841.3500,31782515.8733,0.0000,53.5972
833455.BJ,汇隆活塞,4.4861,23.1231,0.2199,1367.8125,5.6521,633776407.0000,2618910.7727,2843206434.0400,11748786.9175,0.0000,35.1790
833509.BJ,同惠电子,8.8488,-21.4839,-0.0096,317.7103,1.3129,260085681.0000,1074734.2190,2301442874.2800,9510094.5218,0.0000,-9.4281
833523.BJ,德瑞锂电,13.8362,-4.5946,0.1816,768.6785,3.1764,360868571.0000,1491192.4421,4993054035.2200,20632454.6910,0.0000,7.4613
833533.BJ,骏创科技,16.2860,-34.2482,-0.0810,883.2667,3.6499,305541766.0000,1262569.2810,4976039512.2400,20562146.7448,0.0000,-22.1923
833575.BJ,康乐卫士,20.9438,33.5664,0.1896,308.9882,1.2768,452374026.0000,1869314.1570,9474428263.4200,39150530.0141,0.0000,45.6223
833580.BJ,科创新材,6.6312,45.2261,0.3110,770.3335,3.1832,430643844.0000,1779520.0165,2855679182.2600,11800327.1994,0.0000,57.2820
833751.BJ,惠同新材,9.0235,20.2346,0.2194,1767.6234,7.3042,780893887.0000,3226834.2438,7046419890.5000,29117437.5641,0.0000,32.2905
833781.BJ,瑞奇智造,5.4858,-13.3192,0.0033,588.6632,2.4325,537852332.0000,2222530.2975,2950567601.0500,12192428.1035,0.0000,-1.2634
833819.BJ,颖泰生物,4.1399,-35.5263,-0.1332,64.1919,0.2653,775483769.0000,3204478.3843,3210452436.0300,13266332.3803,0.0000,-23.4704
833873.BJ,中设咨询,3.7991,-7.0968,0.0292,728.0111,3.0083,782654510.0000,3234109.5455,2973385026.1000,12286714.9839,0.0000,4.9591
833914.BJ,远航精密,10.2877,-14.3016,-0.0103,521.6184,2.1554,322819768.0000,1333965.9835,3321067499.1700,13723419.4181,0.0000,-2.2457
